accion	id	tiendas	de	a	motivo_fuera	nombre
MAPA	p248908	amazon_mx	Celulares/Accesorios	Herramientas/Soldadura		Kit Soldador 25 en 1 60W, 180 Piezas para Reparación de Circuitos Impresos,Herramientas profesionale
REVISAR	p117948	elektra	Celulares/Teléfonos fijos	Celulares/Teléfonos fijos	no encaja en ninguna categoría	Posee 1 auricular. agenda para 50 contac
REVISAR	p117955	elektra,mercadolibre	Celulares/Teléfonos fijos	Celulares/Teléfonos fijos	no encaja en ninguna categoría	Con identificador de llamadas fsk/dtmf p
REVISAR	p117956	elektra,mercadolibre	Celulares/Teléfonos fijos	Celulares/Teléfonos fijos	no encaja en ninguna categoría	Contestador con buzón de mensajes pantal
REVISAR	p117962	elektra,mercadolibre	Celulares/Teléfonos fijos	Celulares/Teléfonos fijos	no encaja en ninguna categoría	Posee 1 auricular. ideal para instalarlo
REVISAR	p125370	elektra	Celulares/Android	Celulares/Android	no encaja en ninguna categoría	Xiaomi A7 Pro
REVISAR	p125418	elektra	Celulares/Android	Celulares/Android	no encaja en ninguna categoría	Comercializadora SMBX
REVISAR	p125419	elektra	Celulares/Android	Celulares/Android	no encaja en ninguna categoría	Comercializadora Smbx
REVISAR	p165086	amazon_mx	Celulares/Android	Celulares/Android	no encaja en ninguna categoría	Samsung S24h650gdu
REVISAR	p169972	amazon_mx	Celulares/Android	Celulares/Android	no encaja en ninguna categoría	SAMSUNG S27r750qeu
